"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 21 18:46:04 ALMT 2023","Mon Aug 21 18:46:05 ALMT 2023","699","Mst API test suite:","","","","","Test get-client:",""
"passed","Tue Sep 05 17:05:11 ALMT 2023","Tue Sep 05 17:05:15 ALMT 2023","4057","Mst API test suite:","","","","","Test get-premium:",""
"failed","Fri Jul 28 13:51:35 ALMT 2023","Fri Jul 28 13:51:38 ALMT 2023","2408","Shanyrak API test suite:","","","","","Test set-policy:",""
"broken","Mon Aug 21 19:04:58 ALMT 2023","Mon Aug 21 19:04:59 ALMT 2023","396","Mst API test suite:","","","","","Test send-sms-code:",""
"broken","Tue Aug 08 18:44:12 ALMT 2023","Tue Aug 08 18:44:12 ALMT 2023","0","Mst API test suite:","","","","","Test set-cancellation-contract:",""
"broken","Tue Aug 08 18:39:09 ALMT 2023","Tue Aug 08 18:39:09 ALMT 2023","1","","","","","","""before all"" hook: beforeAll in ""{root}""",""
"passed","Fri Jul 28 13:51:30 ALMT 2023","Fri Jul 28 13:51:31 ALMT 2023","263","Shanyrak API test suite:","","","","","Test get-settings:",""
"broken","Mon Aug 21 19:04:59 ALMT 2023","Mon Aug 21 19:04:59 ALMT 2023","0","Mst API test suite:","","","","","""after each"" hook for ""Test send-sms-code:""",""
"failed","Fri Jul 28 13:51:38 ALMT 2023","Fri Jul 28 13:51:41 ALMT 2023","3532","Shanyrak API test suite:","","","","","Test set-contract-cancellation:",""
"broken","Mon Aug 21 18:46:05 ALMT 2023","Mon Aug 21 18:46:05 ALMT 2023","0","Mst API test suite:","","","","","""after each"" hook for ""Test get-client:""",""
"broken","Tue Sep 05 17:05:15 ALMT 2023","Tue Sep 05 17:05:15 ALMT 2023","1","Mst API test suite:","","","","","""after each"" hook for ""Test get-premium:""",""
"passed","Fri Jul 28 13:51:31 ALMT 2023","Fri Jul 28 13:51:33 ALMT 2023","2654","Shanyrak API test suite:","","","","","Test get-client:",""
"passed","Fri Jul 28 13:51:33 ALMT 2023","Fri Jul 28 13:51:34 ALMT 2023","808","Shanyrak API test suite:","","","","","Test send-verification-code:",""
"broken","Tue Sep 05 17:27:35 ALMT 2023","Tue Sep 05 17:27:35 ALMT 2023","0","Mst API test suite:","","","","","""after each"" hook for ""Test set-policy:""",""
"failed","Tue Sep 05 17:26:36 ALMT 2023","Tue Sep 05 17:27:35 ALMT 2023","58702","Mst API test suite:","","","","","Test set-policy:",""
"passed","Fri Jul 28 13:51:34 ALMT 2023","Fri Jul 28 13:51:35 ALMT 2023","1446","Shanyrak API test suite:","","","","","Test save:",""
"broken","Mon Aug 21 19:09:50 ALMT 2023","Mon Aug 21 19:09:50 ALMT 2023","1","Mst API test suite:","","","","","""before all"" hook for ""Test send-sms-code:""",""
